method,case_id,category,fake_record_name,seed_value,draw_count,modulo_n,input_byte_length,compiler,operation_label,expected_observation,actual_observation,expected_outcome,actual_outcome,c_harness_matched,randmax_matched,sequence_matched,reset_matched,modulo_bias_matched,rand_r_matched,strtol_matched,return_value_matched,errno_matched,compiler_matched,newlib_not_tested,portability_not_tested,security_not_tested,thread_safety_not_tested,naive_should_fail,output_char_length,output_byte_length,elapsed_time,failure_reason
preserve_original_case_baseline,c01_randmax_recorded,randmax_recorded,fake_rng_case_randmax,,0,,,zig cc,randmax_recorded,recorded,"RAND_MAX=2147483647
ok=1",success,success,True,True,False,False,False,False,False,True,True,True,False,False,False,False,False,24,24,0.007410425925627351,
compiler_discovery_checker,c01_randmax_recorded,randmax_recorded,fake_rng_case_randmax,,0,,,zig cc,randmax_recorded,recorded,"RAND_MAX=2147483647
ok=1",success,success,True,True,False,False,False,False,False,True,True,True,False,False,False,False,False,24,24,0.007410425925627351,
c_harness_compile_checker,c01_randmax_recorded,randmax_recorded,fake_rng_case_randmax,,0,,,zig cc,randmax_recorded,recorded,"RAND_MAX=2147483647
ok=1",success,success,True,True,False,False,False,False,False,True,True,True,False,False,False,False,False,24,24,0.007410425925627351,
rand_srand_policy_observer,c01_randmax_recorded,randmax_recorded,fake_rng_case_randmax,,0,,,zig cc,randmax_recorded,recorded,"RAND_MAX=2147483647
ok=1",success,success,True,True,False,False,False,False,False,True,True,True,False,False,False,False,False,24,24,0.007410425925627351,
hidden_state_marker,c01_randmax_recorded,randmax_recorded,fake_rng_case_randmax,,0,,,zig cc,randmax_recorded,recorded,"RAND_MAX=2147483647
ok=1",success,success,True,True,False,False,False,False,False,True,True,True,False,False,False,False,False,24,24,0.007410425925627351,
modulo_bias_marker,c01_randmax_recorded,randmax_recorded,fake_rng_case_randmax,,0,,,zig cc,randmax_recorded,recorded,"RAND_MAX=2147483647
ok=1",success,success,True,True,False,False,False,False,False,True,True,True,False,False,False,False,False,24,24,0.007410425925627351,
rand_r_policy_observer,c01_randmax_recorded,randmax_recorded,fake_rng_case_randmax,,0,,,zig cc,randmax_recorded,recorded,"RAND_MAX=2147483647
ok=1",success,success,True,True,False,False,False,False,False,True,True,True,False,False,False,False,False,24,24,0.007410425925627351,
seed_parsing_policy_observer,c01_randmax_recorded,randmax_recorded,fake_rng_case_randmax,,0,,,zig cc,randmax_recorded,recorded,"RAND_MAX=2147483647
ok=1",success,success,True,True,False,False,False,False,False,True,True,True,False,False,False,False,False,24,24,0.007410425925627351,
embedded_newlib_scope_marker,c01_randmax_recorded,randmax_recorded,fake_rng_case_randmax,,0,,,zig cc,randmax_recorded,recorded,"RAND_MAX=2147483647
ok=1",success,success,True,True,False,False,False,False,False,True,True,True,False,False,False,False,False,24,24,0.007410425925627351,
crypto_security_scope_marker,c01_randmax_recorded,randmax_recorded,fake_rng_case_randmax,,0,,,zig cc,randmax_recorded,recorded,"RAND_MAX=2147483647
ok=1",success,success,True,True,False,False,False,False,False,True,True,True,False,False,False,False,False,24,24,0.007410425925627351,
thread_reentrancy_scope_marker,c01_randmax_recorded,randmax_recorded,fake_rng_case_randmax,,0,,,zig cc,randmax_recorded,recorded,"RAND_MAX=2147483647
ok=1",success,success,True,True,False,False,False,False,False,True,True,True,False,False,False,False,False,24,24,0.007410425925627351,
portability_scope_marker,c01_randmax_recorded,randmax_recorded,fake_rng_case_randmax,,0,,,zig cc,randmax_recorded,recorded,"RAND_MAX=2147483647
ok=1",success,success,True,True,False,False,False,False,False,True,True,True,False,False,False,False,False,24,24,0.007410425925627351,
toy_project_prng_marker,c01_randmax_recorded,randmax_recorded,fake_rng_case_randmax,,0,,,zig cc,randmax_recorded,recorded,"RAND_MAX=2147483647
ok=1",success,success,True,True,False,False,False,False,False,True,True,True,False,False,False,False,False,24,24,0.007410425925627351,
copy_size_timing_marker,c01_randmax_recorded,randmax_recorded,fake_rng_case_randmax,,0,,,zig cc,randmax_recorded,recorded,"RAND_MAX=2147483647
ok=1",success,success,True,True,False,False,False,False,False,True,True,True,False,False,False,False,False,24,24,0.007410425925627351,
naive_rand_modulo_marker,c01_randmax_recorded,randmax_recorded,fake_rng_case_randmax,,0,,,zig cc,randmax_recorded,recorded,"RAND_MAX=2147483647
ok=1",success,success,True,True,False,False,False,False,False,True,True,True,False,False,False,False,False,24,24,0.007410425925627351,
